"","household_income","housing_costs","estimate","moe","tenure","pct_all","cumul_pct","pct_upper","pct_lower","pct_moe"
"1","Less than $10,000:","Less than 20.0 percent",0,19,"Renter",0,0,7.25190839694656,0,7.25190839694656
"2","Less than $10,000:","20.0 to 24.9 percent",10,15,"Renter",3.81679389312977,3.81679389312977,9.42511976931493,0,5.60832587618515
"3","Less than $10,000:","25.0 to 29.9 percent",37,32,"Renter",14.1221374045802,17.9389312977099,25.5695464541016,2.67472835505871,11.4474090495214
"4","Less than $10,000:","30.0 to 34.9 percent",0,19,"Renter",0,17.9389312977099,7.25190839694656,0,7.25190839694656
"5","Less than $10,000:","35.0 to 39.9 percent",0,19,"Renter",0,17.9389312977099,7.25190839694656,0,7.25190839694656
"6","Less than $10,000:","40.0 to 49.9 percent",0,19,"Renter",0,17.9389312977099,7.25190839694656,0,7.25190839694656
"7","Less than $10,000:","50.0 percent or more",176,75,"Renter",67.175572519084,85.1145038167939,87.4035461252619,46.947598912906,20.227973606178
"8","Less than $10,000:","Not computed",39,31,"Renter",14.8854961832061,100,25.8331973463866,3.93779502002556,10.9477011631805
"9","$10,000 to $19,999:","Less than 20.0 percent",0,19,"Renter",0,100,6.25,0,6.25
"10","$10,000 to $19,999:","20.0 to 24.9 percent",18,20,"Renter",5.92105263157895,105.921052631579,12.0854950481229,0,6.16444241654397
"11","$10,000 to $19,999:","25.0 to 29.9 percent",49,50,"Renter",16.1184210526316,122.039473684211,31.3293457795645,0.907496325698689,15.2109247269329
"12","$10,000 to $19,999:","30.0 to 34.9 percent",8,13,"Renter",2.63157894736842,124.671052631579,6.78410583614405,0,4.15252688877563
"13","$10,000 to $19,999:","35.0 to 39.9 percent",7,10,"Renter",2.30263157894737,126.973684210526,5.46835205956,0,3.16572048061263
"14","$10,000 to $19,999:","40.0 to 49.9 percent",10,14,"Renter",3.28947368421053,130.263157894737,7.71419296077887,0,4.42471927656834
"15","$10,000 to $19,999:","50.0 percent or more",174,93,"Renter",57.2368421052632,187.5,78.267411071209,36.2062731393173,21.0305689659459
"16","$10,000 to $19,999:","Not computed",38,45,"Renter",12.5,200,26.484857991048,0,13.984857991048
"17","$20,000 to $34,999:","Less than 20.0 percent",32,27,"Renter",4.67153284671533,204.671532846715,8.43667359171269,0.906392101717969,3.76514074499736
"18","$20,000 to $34,999:","20.0 to 24.9 percent",27,39,"Renter",3.94160583941606,208.613138686131,9.54936560800039,0,5.60775976858434
"19","$20,000 to $34,999:","25.0 to 29.9 percent",0,19,"Renter",0,208.613138686131,2.77372262773723,0,2.77372262773723
"20","$20,000 to $34,999:","30.0 to 34.9 percent",77,61,"Renter",11.2408759124088,219.85401459854,19.6923068786053,2.78944494621217,8.45143096619659
